Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
123,"Y Guo, K Chen, S Liang, YJ Liu…",Ad-nerf: Audio driven neural radiance fields for talking head synthesis,2021,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/ICCV2021/html/Guo_AD-NeRF_Audio_Driven_Neural_Radiance_Fields_for_Talking_Head_Synthesis_ICCV_2021_paper.html,"https://scholar.google.com/scholar?cites=12009336699446671862&as_sdt=2005&sciodt=0,5&hl=en",18,2023-06-20 11:11:40,,,,,,,,,123,61.5,25,5,2,"… recent developed neural radiance fields (NeRF). We present AD-NeRF, an audio-driven neural … radiance field (NeRF) [30] to represent the scenes of talking heads. Inspired by dynamic …",http://openaccess.thecvf.com/content/ICCV2021/papers/Guo_AD-NeRF_Audio_Driven_Neural_Radiance_Fields_for_Talking_Head_Synthesis_ICCV_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:9rmUlhm8qaYJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
114,"B Mildenhall, P Hedman…",Nerf in the dark: High dynamic range view synthesis from noisy raw images,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Mildenhall_NeRF_in_the_Dark_High_Dynamic_Range_View_Synthesis_From_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=12426181074141439092&as_sdt=2005&sciodt=0,5&hl=en",9,2023-06-20 11:11:40,,,,,,,,,114,114,38,3,1,"… By rendering raw output images from the resulting NeRF, … NeRF is highly robust to the zeromean distribution of raw noise. When optimized over many noisy raw inputs (25-200), NeRF …",http://openaccess.thecvf.com/content/CVPR2022/papers/Mildenhall_NeRF_in_the_Dark_High_Dynamic_Range_View_Synthesis_From_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:dOThptmpcqwJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
112,"D Verbin, P Hedman, B Mildenhall…",Ref-nerf: Structured view-dependent appearance for neural radiance fields,2022,2022 IEEE/CVF …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9879796/,"https://scholar.google.com/scholar?cites=9287989810717225683&as_sdt=2005&sciodt=0,5&hl=en",19,2023-06-20 11:11:40,,,,,,,,,112,112,28,4,1,"… Our key insight is that structuring NeRF’s representation of view… we call Ref-NeRF, that reparameterizes NeRF’s directional MLP … While these improvements crucially enable Ref-NeRF to …",https://ieeexplore.ieee.org/iel7/9878378/9878366/09879796.pdf,"https://scholar.google.com/scholar?q=related:03I_4YWR5YAJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
110,"SY Su, F Yu, M Zollhöfer…","A-nerf: Articulated neural radiance fields for learning human shape, appearance, and pose",2021,Advances in Neural …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper/2021/hash/65fc9fb4897a89789352e211ca2d398f-Abstract.html,"https://scholar.google.com/scholar?cites=5973555120122725010&as_sdt=2005&sciodt=0,5&hl=en",54,2023-06-20 11:11:40,,,,,,,,,110,55,28,4,2,"… Figure 1: Our A-NeRF jointly learns a neural body model of the … However, the original NeRF only works for static scenes … , the implicit form of A-NeRF makes us re-think how skeletons …",https://proceedings.neurips.cc/paper/2021/file/65fc9fb4897a89789352e211ca2d398f-Paper.pdf,"https://scholar.google.com/scholar?q=related:koIhhbtU5lIJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
101,"Q Xu, Z Xu, J Philip, S Bi, Z Shu…",Point-nerf: Point-based neural radiance fields,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Xu_Point-NeRF_Point-Based_Neural_Radiance_Fields_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=35440399082752988&as_sdt=2005&sciodt=0,5&hl=en",36,2023-06-20 11:11:40,,,,,,,,,101,101,17,6,1,"… -NeRF, … NeRF that purely depends on per-scene fitting, PointNeRF can be effectively initialized via a feed-forward deep neural network, pre-trained across scenes. Moreover, PointNeRF …",https://openaccess.thecvf.com/content/CVPR2022/papers/Xu_Point-NeRF_Point-Based_Neural_Radiance_Fields_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:3IsG7trofQAJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
87,"H Xu, T Alldieck…",H-nerf: Neural radiance fields for rendering and temporal reconstruction of humans in motion,2021,Advances in Neural …,proceedings.neurips.cc,https://proceedings.neurips.cc/paper/2021/hash/7d62a275027741d98073d42b8f735c68-Abstract.html,"https://scholar.google.com/scholar?cites=11268276687385660645&as_sdt=2005&sciodt=0,5&hl=en",20,2023-06-20 11:11:40,,,,,,,,,87,43.5,29,3,2,"We present neural radiance fields for rendering and temporal (4D) reconstruction of humans in motion (H-NeRF), as captured by a sparse set of cameras or even from a monocular video…",https://proceedings.neurips.cc/paper/2021/file/7d62a275027741d98073d42b8f735c68-Paper.pdf,"https://scholar.google.com/scholar?q=related:5Qxw_vH1YJwJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
78,"Y Hong, B Peng, H Xiao, L Liu…",Headnerf: A real-time nerf-based parametric head model,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Hong_HeadNeRF_A_Real-Time_NeRF-Based_Parametric_Head_Model_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=4600116112972239361&as_sdt=2005&sciodt=0,5&hl=en",16,2023-06-20 11:11:40,,,,,,,,,78,78,16,5,1,"… the NeRF structure to the representation of human heads and propose a novel NeRF-based parametric head model, HeadNeRF. HeadNeRF inherits the excellent properties of NeRF, …",https://openaccess.thecvf.com/content/CVPR2022/papers/Hong_HeadNeRF_A_Real-Time_NeRF-Based_Parametric_Head_Model_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:AdJCdzvl1j8J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
73,"AR Kosiorek, H Strathmann, D Zoran…",Nerf-vae: A geometry aware 3d scene generative model,2021,International …,proceedings.mlr.press,http://proceedings.mlr.press/v139/kosiorek21a.html,"https://scholar.google.com/scholar?cites=3601848012644504530&as_sdt=2005&sciodt=0,5&hl=en",13,2023-06-20 11:11:40,,,,,,,,,73,36.5,18,4,2,"… We propose NeRF-VAE, a 3D scene generative model that incorporates geometric structure via Neural Radiance Fields (NeRF) and differentiable volume rendering. In contrast to NeRF…",http://proceedings.mlr.press/v139/kosiorek21a/kosiorek21a.pdf,"https://scholar.google.com/scholar?q=related:0lOfIK9V_DEJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
73,"J Li, Z Feng, Q She, H Ding…",Mine: Towards continuous depth mpi with nerf for novel view synthesis,2021,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/ICCV2021/html/Li_MINE_Towards_Continuous_Depth_MPI_With_NeRF_for_Novel_View_ICCV_2021_paper.html,"https://scholar.google.com/scholar?cites=12515612923449016495&as_sdt=2005&sciodt=0,5&hl=en",26,2023-06-20 11:11:40,,,,,,,,,73,36.5,15,5,2,"In this paper, we propose MINE to perform novel view synthesis and depth estimation via dense 3D reconstruction from a single image. Our approach is a continuous depth …",https://openaccess.thecvf.com/content/ICCV2021/papers/Li_MINE_Towards_Continuous_Depth_MPI_With_NeRF_for_Novel_View_ICCV_2021_paper.pdf,"https://scholar.google.com/scholar?q=related:r4B3sKRjsK0J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
59,"YJ Yuan, YT Sun, YK Lai, Y Ma…",NeRF-editing: geometry editing of neural radiance fields,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Yuan_NeRF-Editing_Geometry_Editing_of_Neural_Radiance_Fields_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=15937330507607092552&as_sdt=2005&sciodt=0,5&hl=en",24,2023-06-20 11:11:40,,,,,,,,,59,59,12,5,1,"… field (NeRF). Users only need to capture multi-view images to build a NeRF representation, … Meanwhile, some works [48, 67] consider using NeRF to model dynamic scenes and using …",http://openaccess.thecvf.com/content/CVPR2022/papers/Yuan_NeRF-Editing_Geometry_Editing_of_Neural_Radiance_Fields_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:SK3qNajFLN0J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
57,"J Ichnowski, Y Avigal, J Kerr, K Goldberg",Dex-nerf: Using a neural radiance field to grasp transparent objects,2021,arXiv preprint arXiv:2110.14217,arxiv.org,https://arxiv.org/abs/2110.14217,"https://scholar.google.com/scholar?cites=12894996577099829317&as_sdt=2005&sciodt=0,5&hl=en",30,2023-06-20 11:11:40,,,,,,,,,57,28.5,14,4,2,"… (NeRF) to detect, localize, and infer the geometry of transparent objects with sufficient accuracy to find and grasp them securely. We leverage NeRF’s … In each setting we show that NeRF …",https://arxiv.org/pdf/2110.14217.pdf]],"https://scholar.google.com/scholar?q=related:RdDp9RA79LIJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
56,"S Kobayashi, E Matsumoto, V Sitzmann",Decomposing nerf for editing via feature field distillation,2022,arXiv preprint arXiv:2205.15585,arxiv.org,https://arxiv.org/abs/2205.15585,"https://scholar.google.com/scholar?cites=4564607362431884568&as_sdt=2005&sciodt=0,5&hl=en",65,2023-06-20 11:11:40,,,,,,,,,56,56,19,3,1,"Emerging neural radiance fields (NeRF) are a promising scene representation for computer graphics, enabling high-quality 3D reconstruction and novel view synthesis from image …",,"https://scholar.google.com/scholar?q=related:GJ3iODa-WD8J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
54,"H Turki, D Ramanan…",Mega-nerf: Scalable construction of large-scale nerfs for virtual fly-throughs,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Turki_Mega-NERF_Scalable_Construction_of_Large-Scale_NeRFs_for_Virtual_Fly-Throughs_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=9397631381611401&as_sdt=2005&sciodt=0,5&hl=en",22,2023-06-20 11:11:40,,,,,,,,,54,54,18,3,1,… NeRF sub… NeRF fast renderers on top of Mega-NeRF and introduce a novel method that exploits temporal coherence. Our technique achieves a 40x speedup over conventional NeRF …,http://openaccess.thecvf.com/content/CVPR2022/papers/Turki_Mega-NERF_Scalable_Construction_of_Large-Scale_NeRFs_for_Virtual_Fly-Throughs_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:iSM7kBhjIQAJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
53,"SY Su, F Yu, M Zollhoefer, H Rhodin",A-nerf: Surface-free human 3d pose refinement via neural rendering,2021,arXiv preprint arXiv:2102.06199,,,"https://scholar.google.com/scholar?cites=165248991913117544&as_sdt=2005&sciodt=0,5&hl=en",261,2023-06-20 11:11:40,CITATION,,,,,,,,53,26.5,13,4,2,,,"https://scholar.google.com/scholar?q=related:aAd5JhUVSwIJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
49,"L Yen-Chen, P Florence, JT Barron…",Nerf-supervision: Learning dense object descriptors from neural radiance fields,2022,… on Robotics and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9812291/,"https://scholar.google.com/scholar?cites=237559368052531213&as_sdt=2005&sciodt=0,5&hl=en",23,2023-06-20 11:11:40,,,,,,,,,49,49,12,4,1,… In this paper we explore the use of NeRF as a new source of supervision for … a NeRF representation of a scene can be used to train dense object descriptors. We use an optimized NeRF …,https://ieeexplore.ieee.org/iel7/9811522/9811357/09812291.pdf,"https://scholar.google.com/scholar?q=related:DWDWkfz6SwMJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
46,"MM Johari, Y Lepoittevin…",Geonerf: Generalizing nerf with geometry priors,2022,Proceedings of the IEEE …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Johari_GeoNeRF_Generalizing_NeRF_With_Geometry_Priors_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=136874210802770985&as_sdt=2005&sciodt=0,5&hl=en",42,2023-06-20 11:11:40,,,,,,,,,46,46,15,3,1,"… with the original vanilla NeRF [37] and the existing generalizable NeRF models: pixelNeRF [61]… on NeRF benchmarking datasets, nor test state-of-the-art generalizable NeRF models on …",https://openaccess.thecvf.com/content/CVPR2022/papers/Johari_GeoNeRF_Generalizing_NeRF_With_Geometry_Priors_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:KaTPmV5G5gEJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
44,"F Dellaert, L Yen-Chen",Neural volume rendering: Nerf and beyond,2020,arXiv preprint arXiv:2101.05204,arxiv.org,https://arxiv.org/abs/2101.05204,"https://scholar.google.com/scholar?cites=7885825777819131285&as_sdt=2005&sciodt=0,5&hl=en",44,2023-06-20 11:11:40,,,,,,,,,44,14.67,22,2,3,"… Outline Below we first discuss some very relevant related works that lead up to the “NeRF explosion”, then discuss the two papers that we think started it all, followed by an annotated …",https://arxiv.org/pdf/2101.05204.pdf%C3%A2%E2%82%AC%E2%80%B9,"https://scholar.google.com/scholar?q=related:lR2Hl8MUcG0J:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
44,"W Gao, W Liu, M Zhao, WX Li",NERF encodes a RING E3 ligase important for drought resistance and enhances the expression of its antisense gene NFYA5 in Arabidopsis,2015,Nucleic acids research,academic.oup.com,https://academic.oup.com/nar/article-abstract/43/1/607/2903418,"https://scholar.google.com/scholar?cites=1325226122173488165&as_sdt=2005&sciodt=0,5&hl=en",63,2023-06-20 11:11:40,,,,,,,,,44,5.5,11,4,8,… that NERF functions as a RING finger protein that has ubiquitin E3 ligase activity. Transcriptional levels of NERF … from the NERF and NFYA5 overlapping region (OR). Expression of …,https://academic.oup.com/nar/article/43/1/607/2903418,"https://scholar.google.com/scholar?q=related:JRw4AyMmZBIJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
42,"C Xie, K Park, R Martin-Brualla…",Fig-nerf: Figure-ground neural radiance fields for 3d object category modelling,2021,… Conference on 3D …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9665893/,"https://scholar.google.com/scholar?cites=12057928727003906161&as_sdt=2005&sciodt=0,5&hl=en",35,2023-06-20 11:11:40,,,,,,,,,42,21,11,4,2,"… Fields (NeRF) [25], which has shown excellent results for image-based view synthesis. We propose Figure-Ground Neural Radiance Fields (FiG-NeRF), which uses two NeRF models to …",https://ieeexplore.ieee.org/iel7/9665713/9665818/09665893.pdf,"https://scholar.google.com/scholar?q=related:ccALpEpeVqcJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
40,"G Metzer, E Richardson, O Patashnik…",Latent-nerf for shape-guided generation of 3d shapes and textures,2023,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2023/html/Metzer_Latent-NeRF_for_Shape-Guided_Generation_of_3D_Shapes_and_Textures_CVPR_2023_paper.html,"https://scholar.google.com/scholar?cites=16756906425039318961&as_sdt=2005&sciodt=0,5&hl=en",10,2023-06-20 11:11:40,,,,,,,,,40,40,10,4,1,"… bring the NeRF to the latent space, resulting in a Latent-NeRF. Analyzing our Latent-NeRF, … To assist and direct the 3D generation, we propose to guide our Latent-NeRF using a Sketch…",https://openaccess.thecvf.com/content/CVPR2023/papers/Metzer_Latent-NeRF_for_Shape-Guided_Generation_of_3D_Shapes_and_Textures_CVPR_2023_paper.pdf,"https://scholar.google.com/scholar?q=related:se_tlpx9jOgJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
40,"X Fu, S Zhang, T Chen, Y Lu, L Zhu, X Zhou…",Panoptic nerf: 3d-to-2d label transfer for panoptic urban scene segmentation,2022,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/2203.15224,"https://scholar.google.com/scholar?cites=7377004281744837674&as_sdt=2005&sciodt=0,5&hl=en",39,2023-06-20 11:11:40,,,,,,,,,40,40,6,7,1,"… Radiance Fields (NeRF) [40] as a differentiable tool to bridge 3D and 2D space. Specifically, we introduce Panoptic NeRF, a novel label transfer method built on NeRF that infers in 3D …",https://arxiv.org/pdf/2203.15224,"https://scholar.google.com/scholar?q=related:KszvJ09iYGYJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
36,"X Huang, Q Zhang, Y Feng, H Li…",Hdr-nerf: High dynamic range neural radiance fields,2022,Proceedings of the …,openaccess.thecvf.com,http://openaccess.thecvf.com/content/CVPR2022/html/Huang_HDR-NeRF_High_Dynamic_Range_Neural_Radiance_Fields_CVPR_2022_paper.html,"https://scholar.google.com/scholar?cites=9231094804591892151&as_sdt=2005&sciodt=0,5&hl=en",27,2023-06-20 11:11:40,,,,,,,,,36,36,7,5,1,"… original NeRF [42], NeRF-W (NeRF in the wild) [37], as well as NeRF-GT (a version of NeRF … even comparable to NeRF-GT, and we find that directly training the NeRF model from HDR …",http://openaccess.thecvf.com/content/CVPR2022/papers/Huang_HDR-NeRF_High_Dynamic_Range_Neural_Radiance_Fields_CVPR_2022_paper.pdf,"https://scholar.google.com/scholar?q=related:t1an-9BvG4AJ:scholar.google.com/&scioq=intitle:nerf&hl=en&as_sdt=0,5&as_ylo=2015"
